TIME,GEO,FORD,SEX,PROF_POS,SECTPERF,VALUE
2011,UK,FORD3,T,TOTAL,HES,78841
2013,UK,FORD3,T,TOTAL,HES,80086
2017,UK,FORD3,T,TOTAL,HES,87384
2012,BA,FORD3,T,TOTAL,HES,61
2013,BA,FORD3,T,TOTAL,HES,43
2019,BA,FORD3,T,TOTAL,HES,188
2020,BA,FORD3,T,TOTAL,HES,100
2011,ME,FORD3,T,TOTAL,HES,39
2013,ME,FORD3,T,TOTAL,HES,46
2014,ME,FORD3,T,TOTAL,HES,18
2015,ME,FORD3,T,TOTAL,HES,28
2017,ME,FORD3,T,TOTAL,HES,44
2018,ME,FORD3,T,TOTAL,HES,45
2019,ME,FORD3,T,TOTAL,HES,26
2005,MK,FORD3,T,TOTAL,HES,683
2006,MK,FORD3,T,TOTAL,HES,652
2007,MK,FORD3,T,TOTAL,HES,658
2008,MK,FORD3,T,TOTAL,HES,581
2009,MK,FORD3,T,TOTAL,HES,576
2015,MK,FORD3,T,TOTAL,HES,666
2016,MK,FORD3,T,TOTAL,HES,671
2017,MK,FORD3,T,TOTAL,HES,493
2018,MK,FORD3,T,TOTAL,HES,384
2019,MK,FORD3,T,TOTAL,HES,529
2020,MK,FORD3,T,TOTAL,HES,612
2022,MK,FORD3,T,TOTAL,HES,615
2008,RS,FORD3,T,TOTAL,HES,2597
2009,RS,FORD3,T,TOTAL,HES,2459
2010,RS,FORD3,T,TOTAL,HES,1068
2011,RS,FORD3,T,TOTAL,HES,1207
2012,RS,FORD3,T,TOTAL,HES,1171
2013,RS,FORD3,T,TOTAL,HES,1184
2014,RS,FORD3,T,TOTAL,HES,1170
2015,RS,FORD3,T,TOTAL,HES,1129
2016,RS,FORD3,T,TOTAL,HES,2449
2017,RS,FORD3,T,TOTAL,HES,2475
2018,RS,FORD3,T,TOTAL,HES,2579
2019,RS,FORD3,T,TOTAL,HES,2994
2020,RS,FORD3,T,TOTAL,HES,2988
2021,RS,FORD3,T,TOTAL,HES,3018
2022,RS,FORD3,T,TOTAL,HES,3138
2001,TR,FORD3,T,TOTAL,HES,18027
2002,TR,FORD3,T,TOTAL,HES,13751
2003,TR,FORD3,T,TOTAL,HES,20404
2004,TR,FORD3,T,TOTAL,HES,20965
2005,TR,FORD3,T,TOTAL,HES,21715
2006,TR,FORD3,T,TOTAL,HES,23260
2007,TR,FORD3,T,TOTAL,HES,27434
2008,TR,FORD3,T,TOTAL,HES,27666
2009,TR,FORD3,T,TOTAL,HES,28737
2010,TR,FORD3,T,TOTAL,HES,28456
2011,TR,FORD3,T,TOTAL,HES,29516
2012,TR,FORD3,T,TOTAL,HES,33760
2013,TR,FORD3,T,TOTAL,HES,34923
2014,TR,FORD3,T,TOTAL,HES,40939
2015,TR,FORD3,T,TOTAL,HES,32023
2017,TR,FORD3,T,TOTAL,HES,44743
2018,TR,FORD3,T,TOTAL,HES,44675
2019,TR,FORD3,T,TOTAL,HES,50375
2020,TR,FORD3,T,TOTAL,HES,51138
2021,TR,FORD3,T,TOTAL,HES,54301
2022,TR,FORD3,T,TOTAL,HES,56999
2010,BE,FORD4,T,TOTAL,HES,2924
2011,BE,FORD4,T,TOTAL,HES,3254
2012,BE,FORD4,T,TOTAL,HES,3801
2013,BE,FORD4,T,TOTAL,HES,3228
2014,BE,FORD4,T,TOTAL,HES,3504
2015,BE,FORD4,T,TOTAL,HES,3196
2016,BE,FORD4,T,TOTAL,HES,3606
2017,BE,FORD4,T,TOTAL,HES,3442
2018,BE,FORD4,T,TOTAL,HES,3346
2019,BE,FORD4,T,TOTAL,HES,3913
2020,BE,FORD4,T,TOTAL,HES,2499
2021,BE,FORD4,T,TOTAL,HES,2727
2000,BG,FORD4,T,TOTAL,HES,6
2001,BG,FORD4,T,TOTAL,HES,208
2002,BG,FORD4,T,TOTAL,HES,299
2003,BG,FORD4,T,TOTAL,HES,306
2004,BG,FORD4,T,TOTAL,HES,390
2005,BG,FORD4,T,TOTAL,HES,337
2006,BG,FORD4,T,TOTAL,HES,353
2007,BG,FORD4,T,TOTAL,HES,347
2008,BG,FORD4,T,TOTAL,HES,419
2009,BG,FORD4,T,TOTAL,HES,483
2010,BG,FORD4,T,TOTAL,HES,497
2011,BG,FORD4,T,TOTAL,HES,498
2012,BG,FORD4,T,TOTAL,HES,357
2013,BG,FORD4,T,TOTAL,HES,404
2014,BG,FORD4,T,TOTAL,HES,537
2017,BG,FORD4,T,TOTAL,HES,405
2019,BG,FORD4,T,TOTAL,HES,528
2020,BG,FORD4,T,TOTAL,HES,454
2022,BG,FORD4,T,TOTAL,HES,484
2000,CZ,FORD4,T,TOTAL,HES,1180
2001,CZ,FORD4,T,TOTAL,HES,1378
2002,CZ,FORD4,T,TOTAL,HES,1489
2003,CZ,FORD4,T,TOTAL,HES,1441
2004,CZ,FORD4,T,TOTAL,HES,1832
2005,CZ,FORD4,T,TOTAL,HES,1975
2006,CZ,FORD4,T,TOTAL,HES,1870
2007,CZ,FORD4,T,TOTAL,HES,2353
2008,CZ,FORD4,T,TOTAL,HES,2356
2009,CZ,FORD4,T,TOTAL,HES,2657
2010,CZ,FORD4,T,TOTAL,HES,2538
2011,CZ,FORD4,T,TOTAL,HES,2003
2012,CZ,FORD4,T,TOTAL,HES,2166
2013,CZ,FORD4,T,TOTAL,HES,2276
2014,CZ,FORD4,T,TOTAL,HES,2097
2015,CZ,FORD4,T,TOTAL,HES,1927
2016,CZ,FORD4,T,TOTAL,HES,1861
2017,CZ,FORD4,T,TOTAL,HES,1996
2018,CZ,FORD4,T,TOTAL,HES,2130
2019,CZ,FORD4,T,TOTAL,HES,2449
2020,CZ,FORD4,T,TOTAL,HES,2727
2021,CZ,FORD4,T,TOTAL,HES,2673
2022,CZ,FORD4,T,TOTAL,HES,2760
2000,DK,FORD4,T,TOTAL,HES,1162
2001,DK,FORD4,T,TOTAL,HES,1237
2002,DK,FORD4,T,TOTAL,HES,1081
2003,DK,FORD4,T,TOTAL,HES,1062
2004,DK,FORD4,T,TOTAL,HES,1503
2005,DK,FORD4,T,TOTAL,HES,1595
2007,DK,FORD4,T,TOTAL,HES,2344
2009,DK,FORD4,T,TOTAL,HES,2553
2010,DK,FORD4,T,TOTAL,HES,2670
2011,DK,FORD4,T,TOTAL,HES,2738
2012,DK,FORD4,T,TOTAL,HES,2533
2013,DK,FORD4,T,TOTAL,HES,2498
2014,DK,FORD4,T,TOTAL,HES,2872
2015,DK,FORD4,T,TOTAL,HES,2995
2016,DK,FORD4,T,TOTAL,HES,1936
2017,DK,FORD4,T,TOTAL,HES,1909
2018,DK,FORD4,T,TOTAL,HES,1837
2019,DK,FORD4,T,TOTAL,HES,1976
2003,DE,FORD4,T,TOTAL,HES,10937
2004,DE,FORD4,T,TOTAL,HES,10607
2005,DE,FORD4,T,TOTAL,HES,10305
2006,DE,FORD4,T,TOTAL,HES,10779
2007,DE,FORD4,T,TOTAL,HES,10766
2008,DE,FORD4,T,TOTAL,HES,10847
2009,DE,FORD4,T,TOTAL,HES,11005
2010,DE,FORD4,T,TOTAL,HES,11231
2011,DE,FORD4,T,TOTAL,HES,11730
2012,DE,FORD4,T,TOTAL,HES,11899
2013,DE,FORD4,T,TOTAL,HES,12445
2014,DE,FORD4,T,TOTAL,HES,12266
2015,DE,FORD4,T,TOTAL,HES,12016
2016,DE,FORD4,T,TOTAL,HES,11997
2017,DE,FORD4,T,TOTAL,HES,12248
2018,DE,FORD4,T,TOTAL,HES,12461
2019,DE,FORD4,T,TOTAL,HES,12361
2020,DE,FORD4,T,TOTAL,HES,12604
2021,DE,FORD4,T,TOTAL,HES,12641
2001,EE,FORD4,T,TOTAL,HES,336
2002,EE,FORD4,T,TOTAL,HES,332
2003,EE,FORD4,T,TOTAL,HES,306
2004,EE,FORD4,T,TOTAL,HES,306
2005,EE,FORD4,T,TOTAL,HES,243
2006,EE,FORD4,T,TOTAL,HES,221
2007,EE,FORD4,T,TOTAL,HES,201
2008,EE,FORD4,T,TOTAL,HES,237
2009,EE,FORD4,T,TOTAL,HES,247
2010,EE,FORD4,T,TOTAL,HES,277
2011,EE,FORD4,T,TOTAL,HES,284
2012,EE,FORD4,T,TOTAL,HES,274
2013,EE,FORD4,T,TOTAL,HES,283
2014,EE,FORD4,T,TOTAL,HES,275
2015,EE,FORD4,T,TOTAL,HES,254
2016,EE,FORD4,T,TOTAL,HES,234
2017,EE,FORD4,T,TOTAL,HES,244
2018,EE,FORD4,T,TOTAL,HES,314
2019,EE,FORD4,T,TOTAL,HES,343
2020,EE,FORD4,T,TOTAL,HES,398
2021,EE,FORD4,T,TOTAL,HES,402
2022,EE,FORD4,T,TOTAL,HES,420
2000,IE,FORD4,T,TOTAL,HES,220
2002,IE,FORD4,T,TOTAL,HES,277
2003,IE,FORD4,T,TOTAL,HES,270
2004,IE,FORD4,T,TOTAL,HES,273
2005,IE,FORD4,T,TOTAL,HES,270
2006,IE,FORD4,T,TOTAL,HES,269
2007,IE,FORD4,T,TOTAL,HES,280
2008,IE,FORD4,T,TOTAL,HES,295
2009,IE,FORD4,T,TOTAL,HES,187
2010,IE,FORD4,T,TOTAL,HES,216
2011,IE,FORD4,T,TOTAL,HES,286
2012,IE,FORD4,T,TOTAL,HES,356
2013,IE,FORD4,T,TOTAL,HES,351
2014,IE,FORD4,T,TOTAL,HES,469
2015,IE,FORD4,T,TOTAL,HES,643
2017,IE,FORD4,T,TOTAL,HES,681
2019,IE,FORD4,T,TOTAL,HES,721
2021,IE,FORD4,T,TOTAL,HES,635
2011,EL,FORD4,T,TOTAL,HES,2409
2013,EL,FORD4,T,TOTAL,HES,2401
2015,EL,FORD4,T,TOTAL,HES,2704
2017,EL,FORD4,T,TOTAL,HES,1968
2019,EL,FORD4,T,TOTAL,HES,3317
2021,EL,FORD4,T,TOTAL,HES,4143
2022,EL,FORD4,T,TOTAL,HES,4127
2000,ES,FORD4,T,TOTAL,HES,6342
2001,ES,FORD4,T,TOTAL,HES,7408
2002,ES,FORD4,T,TOTAL,HES,7722
2003,ES,FORD4,T,TOTAL,HES,3300
2004,ES,FORD4,T,TOTAL,HES,3577
2005,ES,FORD4,T,TOTAL,HES,3048
2006,ES,FORD4,T,TOTAL,HES,3700
2007,ES,FORD4,T,TOTAL,HES,3884
2008,ES,FORD4,T,TOTAL,HES,4183
2009,ES,FORD4,T,TOTAL,HES,4237
2010,ES,FORD4,T,TOTAL,HES,4566
2011,ES,FORD4,T,TOTAL,HES,4083
2012,ES,FORD4,T,TOTAL,HES,3992
2013,ES,FORD4,T,TOTAL,HES,3681
2014,ES,FORD4,T,TOTAL,HES,3678
2015,ES,FORD4,T,TOTAL,HES,3049
2016,ES,FORD4,T,TOTAL,HES,4360
2017,ES,FORD4,T,TOTAL,HES,4599
2018,ES,FORD4,T,TOTAL,HES,4679
2019,ES,FORD4,T,TOTAL,HES,4665
2020,ES,FORD4,T,TOTAL,HES,5422
2021,ES,FORD4,T,TOTAL,HES,4880
2022,ES,FORD4,T,TOTAL,HES,4887
2002,HR,FORD4,T,TOTAL,HES,1113
2003,HR,FORD4,T,TOTAL,HES,1061
2004,HR,FORD4,T,TOTAL,HES,1159
2005,HR,FORD4,T,TOTAL,HES,1069
2006,HR,FORD4,T,TOTAL,HES,1011
2007,HR,FORD4,T,TOTAL,HES,1099
2008,HR,FORD4,T,TOTAL,HES,951
2009,HR,FORD4,T,TOTAL,HES,1152
2010,HR,FORD4,T,TOTAL,HES,1106
2011,HR,FORD4,T,TOTAL,HES,1200
2012,HR,FORD4,T,TOTAL,HES,867
2013,HR,FORD4,T,TOTAL,HES,1147
2014,HR,FORD4,T,TOTAL,HES,930
2015,HR,FORD4,T,TOTAL,HES,977
2016,HR,FORD4,T,TOTAL,HES,1094
2017,HR,FORD4,T,TOTAL,HES,1011
2018,HR,FORD4,T,TOTAL,HES,1591
2019,HR,FORD4,T,TOTAL,HES,1782
2020,HR,FORD4,T,TOTAL,HES,974
2021,HR,FORD4,T,TOTAL,HES,1026
2022,HR,FORD4,T,TOTAL,HES,987
2007,IT,FORD4,T,TOTAL,HES,5367
2008,IT,FORD4,T,TOTAL,HES,7051
2009,IT,FORD4,T,TOTAL,HES,8130
2010,IT,FORD4,T,TOTAL,HES,5032
2011,IT,FORD4,T,TOTAL,HES,5109
2012,IT,FORD4,T,TOTAL,HES,5342
2013,IT,FORD4,T,TOTAL,HES,5209
2014,IT,FORD4,T,TOTAL,HES,4962
2015,IT,FORD4,T,TOTAL,HES,5156
2016,IT,FORD4,T,TOTAL,HES,5467
2017,IT,FORD4,T,TOTAL,HES,8024
2018,IT,FORD4,T,TOTAL,HES,7861
2019,IT,FORD4,T,TOTAL,HES,7980
2020,IT,FORD4,T,TOTAL,HES,7765
2021,IT,FORD4,T,TOTAL,HES,8036
2022,IT,FORD4,T,TOTAL,HES,8058
2001,CY,FORD4,T,TOTAL,HES,0
2002,CY,FORD4,T,TOTAL,HES,0
2003,CY,FORD4,T,TOTAL,HES,0
2004,CY,FORD4,T,TOTAL,HES,0
2005,CY,FORD4,T,TOTAL,HES,0
2006,CY,FORD4,T,TOTAL,HES,0
2007,CY,FORD4,T,TOTAL,HES,0
2008,CY,FORD4,T,TOTAL,HES,8
2009,CY,FORD4,T,TOTAL,HES,17
2010,CY,FORD4,T,TOTAL,HES,12
2011,CY,FORD4,T,TOTAL,HES,14
2012,CY,FORD4,T,TOTAL,HES,0
2013,CY,FORD4,T,TOTAL,HES,10
2014,CY,FORD4,T,TOTAL,HES,13
2015,CY,FORD4,T,TOTAL,HES,11
2016,CY,FORD4,T,TOTAL,HES,7
2017,CY,FORD4,T,TOTAL,HES,12
2018,CY,FORD4,T,TOTAL,HES,21
2019,CY,FORD4,T,TOTAL,HES,24
2020,CY,FORD4,T,TOTAL,HES,24
2021,CY,FORD4,T,TOTAL,HES,24
2003,LV,FORD4,T,TOTAL,HES,477
2004,LV,FORD4,T,TOTAL,HES,444
2005,LV,FORD4,T,TOTAL,HES,551
2006,LV,FORD4,T,TOTAL,HES,562
2007,LV,FORD4,T,TOTAL,HES,600
2008,LV,FORD4,T,TOTAL,HES,503
2009,LV,FORD4,T,TOTAL,HES,419
2010,LV,FORD4,T,TOTAL,HES,384
2011,LV,FORD4,T,TOTAL,HES,385
2012,LV,FORD4,T,TOTAL,HES,452
2013,LV,FORD4,T,TOTAL,HES,337
2014,LV,FORD4,T,TOTAL,HES,393
2015,LV,FORD4,T,TOTAL,HES,434
2016,LV,FORD4,T,TOTAL,HES,612
2017,LV,FORD4,T,TOTAL,HES,674
2018,LV,FORD4,T,TOTAL,HES,188
2019,LV,FORD4,T,TOTAL,HES,370
2020,LV,FORD4,T,TOTAL,HES,258
2021,LV,FORD4,T,TOTAL,HES,309
2022,LV,FORD4,T,TOTAL,HES,224
2003,LT,FORD4,T,TOTAL,HES,397
2004,LT,FORD4,T,TOTAL,HES,407
2005,LT,FORD4,T,TOTAL,HES,389
2006,LT,FORD4,T,TOTAL,HES,389
2007,LT,FORD4,T,TOTAL,HES,412
2008,LT,FORD4,T,TOTAL,HES,337
2009,LT,FORD4,T,TOTAL,HES,305
2010,LT,FORD4,T,TOTAL,HES,297
2011,LT,FORD4,T,TOTAL,HES,357
2012,LT,FORD4,T,TOTAL,HES,365
2013,LT,FORD4,T,TOTAL,HES,291
2015,LT,FORD4,T,TOTAL,HES,464
2016,LT,FORD4,T,TOTAL,HES,485
2017,LT,FORD4,T,TOTAL,HES,426
2018,LT,FORD4,T,TOTAL,HES,479
2019,LT,FORD4,T,TOTAL,HES,591
2020,LT,FORD4,T,TOTAL,HES,700
2021,LT,FORD4,T,TOTAL,HES,692
2022,LT,FORD4,T,TOTAL,HES,683
2010,LU,FORD4,T,TOTAL,HES,0
2011,LU,FORD4,T,TOTAL,HES,0
2012,LU,FORD4,T,TOTAL,HES,0
2013,LU,FORD4,T,TOTAL,HES,0
2014,LU,FORD4,T,TOTAL,HES,0
2015,LU,FORD4,T,TOTAL,HES,0
2017,LU,FORD4,T,TOTAL,HES,0
2019,LU,FORD4,T,TOTAL,HES,0
2021,LU,FORD4,T,TOTAL,HES,0
2000,HU,FORD4,T,TOTAL,HES,2060
2001,HU,FORD4,T,TOTAL,HES,2054
2002,HU,FORD4,T,TOTAL,HES,2036
2003,HU,FORD4,T,TOTAL,HES,1965
2004,HU,FORD4,T,TOTAL,HES,2023
2005,HU,FORD4,T,TOTAL,HES,1668
2006,HU,FORD4,T,TOTAL,HES,1770
2007,HU,FORD4,T,TOTAL,HES,1619
2008,HU,FORD4,T,TOTAL,HES,1626
2009,HU,FORD4,T,TOTAL,HES,1710
2010,HU,FORD4,T,TOTAL,HES,1624
2011,HU,FORD4,T,TOTAL,HES,1582
2012,HU,FORD4,T,TOTAL,HES,1765
2013,HU,FORD4,T,TOTAL,HES,1488
2014,HU,FORD4,T,TOTAL,HES,1546
2015,HU,FORD4,T,TOTAL,HES,1477
2016,HU,FORD4,T,TOTAL,HES,1577
2017,HU,FORD4,T,TOTAL,HES,1732
2018,HU,FORD4,T,TOTAL,HES,1924
2019,HU,FORD4,T,TOTAL,HES,1564
2020,HU,FORD4,T,TOTAL,HES,1919
2021,HU,FORD4,T,TOTAL,HES,2561
2022,HU,FORD4,T,TOTAL,HES,2068
2002,MT,FORD4,T,TOTAL,HES,8
2003,MT,FORD4,T,TOTAL,HES,8
2004,MT,FORD4,T,TOTAL,HES,7
2005,MT,FORD4,T,TOTAL,HES,6
2006,MT,FORD4,T,TOTAL,HES,6
2007,MT,FORD4,T,TOTAL,HES,13
2008,MT,FORD4,T,TOTAL,HES,9
2009,MT,FORD4,T,TOTAL,HES,7
2010,MT,FORD4,T,TOTAL,HES,14
2011,MT,FORD4,T,TOTAL,HES,15
2012,MT,FORD4,T,TOTAL,HES,18
2013,MT,FORD4,T,TOTAL,HES,33
2014,MT,FORD4,T,TOTAL,HES,18
2015,MT,FORD4,T,TOTAL,HES,18
2016,MT,FORD4,T,TOTAL,HES,17
2017,MT,FORD4,T,TOTAL,HES,16
2018,MT,FORD4,T,TOTAL,HES,30
2019,MT,FORD4,T,TOTAL,HES,16
2020,MT,FORD4,T,TOTAL,HES,18
2021,MT,FORD4,T,TOTAL,HES,18
2022,MT,FORD4,T,TOTAL,HES,23
2002,NL,FORD4,T,TOTAL,HES,1465
2003,NL,FORD4,T,TOTAL,HES,1908
2005,NL,FORD4,T,TOTAL,HES,1911
2006,NL,FORD4,T,TOTAL,HES,1618
2007,NL,FORD4,T,TOTAL,HES,1645
2008,NL,FORD4,T,TOTAL,HES,1505
2009,NL,FORD4,T,TOTAL,HES,1692
2011,NL,FORD4,T,TOTAL,HES,1949
2012,NL,FORD4,T,TOTAL,HES,1730
2013,NL,FORD4,T,TOTAL,HES,1763
2014,NL,FORD4,T,TOTAL,HES,1703
2015,NL,FORD4,T,TOTAL,HES,1683
2016,NL,FORD4,T,TOTAL,HES,1663
2017,NL,FORD4,T,TOTAL,HES,1721
2018,NL,FORD4,T,TOTAL,HES,1690
2019,NL,FORD4,T,TOTAL,HES,1910
2020,NL,FORD4,T,TOTAL,HES,2081
2021,NL,FORD4,T,TOTAL,HES,2217
2022,NL,FORD4,T,TOTAL,HES,2347
2002,AT,FORD4,T,TOTAL,HES,1060
2004,AT,FORD4,T,TOTAL,HES,1209
2006,AT,FORD4,T,TOTAL,HES,1172
2007,AT,FORD4,T,TOTAL,HES,1197
2009,AT,FORD4,T,TOTAL,HES,1722
2011,AT,FORD4,T,TOTAL,HES,1452
2013,AT,FORD4,T,TOTAL,HES,1628
2015,AT,FORD4,T,TOTAL,HES,1634
2017,AT,FORD4,T,TOTAL,HES,1782
2019,AT,FORD4,T,TOTAL,HES,1821
2021,AT,FORD4,T,TOTAL,HES,1790
2000,PL,FORD4,T,TOTAL,HES,6924
2001,PL,FORD4,T,TOTAL,HES,7106
2002,PL,FORD4,T,TOTAL,HES,6763
2003,PL,FORD4,T,TOTAL,HES,6594
2004,PL,FORD4,T,TOTAL,HES,6424
2005,PL,FORD4,T,TOTAL,HES,6031
2006,PL,FORD4,T,TOTAL,HES,6343
2007,PL,FORD4,T,TOTAL,HES,4575
2008,PL,FORD4,T,TOTAL,HES,2789
2009,PL,FORD4,T,TOTAL,HES,4128
2010,PL,FORD4,T,TOTAL,HES,4471
2011,PL,FORD4,T,TOTAL,HES,4720
2012,PL,FORD4,T,TOTAL,HES,5158
2013,PL,FORD4,T,TOTAL,HES,4602
2014,PL,FORD4,T,TOTAL,HES,4861
2015,PL,FORD4,T,TOTAL,HES,4444
2016,PL,FORD4,T,TOTAL,HES,6170
2017,PL,FORD4,T,TOTAL,HES,7888
2018,PL,FORD4,T,TOTAL,HES,8451
2019,PL,FORD4,T,TOTAL,HES,8623
2020,PL,FORD4,T,TOTAL,HES,7880
2021,PL,FORD4,T,TOTAL,HES,8011
2022,PL,FORD4,T,TOTAL,HES,8015
2000,PT,FORD4,T,TOTAL,HES,1262
2001,PT,FORD4,T,TOTAL,HES,1216
2002,PT,FORD4,T,TOTAL,HES,1313
2003,PT,FORD4,T,TOTAL,HES,1411
2004,PT,FORD4,T,TOTAL,HES,1360
2005,PT,FORD4,T,TOTAL,HES,1309
2006,PT,FORD4,T,TOTAL,HES,1295
2007,PT,FORD4,T,TOTAL,HES,1280
2008,PT,FORD4,T,TOTAL,HES,1599
2009,PT,FORD4,T,TOTAL,HES,1358
2010,PT,FORD4,T,TOTAL,HES,1361
2011,PT,FORD4,T,TOTAL,HES,1881
2012,PT,FORD4,T,TOTAL,HES,1391
2013,PT,FORD4,T,TOTAL,HES,1533
2014,PT,FORD4,T,TOTAL,HES,1495
2015,PT,FORD4,T,TOTAL,HES,1477
2016,PT,FORD4,T,TOTAL,HES,1540
2017,PT,FORD4,T,TOTAL,HES,1601
2018,PT,FORD4,T,TOTAL,HES,1770
2019,PT,FORD4,T,TOTAL,HES,1742
2020,PT,FORD4,T,TOTAL,HES,1686
2021,PT,FORD4,T,TOTAL,HES,1692
2022,PT,FORD4,T,TOTAL,HES,1752
2002,RO,FORD4,T,TOTAL,HES,68
2003,RO,FORD4,T,TOTAL,HES,190
2004,RO,FORD4,T,TOTAL,HES,273
2005,RO,FORD4,T,TOTAL,HES,719
2006,RO,FORD4,T,TOTAL,HES,1003
2007,RO,FORD4,T,TOTAL,HES,1201
2008,RO,FORD4,T,TOTAL,HES,1028
2009,RO,FORD4,T,TOTAL,HES,897
2010,RO,FORD4,T,TOTAL,HES,1237
2011,RO,FORD4,T,TOTAL,HES,562
2012,RO,FORD4,T,TOTAL,HES,663
2013,RO,FORD4,T,TOTAL,HES,1709
2014,RO,FORD4,T,TOTAL,HES,1730
2015,RO,FORD4,T,TOTAL,HES,1787
2016,RO,FORD4,T,TOTAL,HES,1746
2017,RO,FORD4,T,TOTAL,HES,2547
2018,RO,FORD4,T,TOTAL,HES,965
2019,RO,FORD4,T,TOTAL,HES,1234
2020,RO,FORD4,T,TOTAL,HES,1252
2021,RO,FORD4,T,TOTAL,HES,1355
2022,RO,FORD4,T,TOTAL,HES,1196
2002,SI,FORD4,T,TOTAL,HES,381
2003,SI,FORD4,T,TOTAL,HES,537
2004,SI,FORD4,T,TOTAL,HES,548
2005,SI,FORD4,T,TOTAL,HES,603
2006,SI,FORD4,T,TOTAL,HES,616
2007,SI,FORD4,T,TOTAL,HES,623
2008,SI,FORD4,T,TOTAL,HES,168
2009,SI,FORD4,T,TOTAL,HES,76
2010,SI,FORD4,T,TOTAL,HES,197
2011,SI,FORD4,T,TOTAL,HES,660
2012,SI,FORD4,T,TOTAL,HES,643
2013,SI,FORD4,T,TOTAL,HES,458
2015,SI,FORD4,T,TOTAL,HES,394
2016,SI,FORD4,T,TOTAL,HES,365
2019,SI,FORD4,T,TOTAL,HES,497
2020,SI,FORD4,T,TOTAL,HES,612
2021,SI,FORD4,T,TOTAL,HES,636
2022,SI,FORD4,T,TOTAL,HES,581
2000,SK,FORD4,T,TOTAL,HES,0
2001,SK,FORD4,T,TOTAL,HES,0
2002,SK,FORD4,T,TOTAL,HES,987
2003,SK,FORD4,T,TOTAL,HES,1113
2004,SK,FORD4,T,TOTAL,HES,805
2005,SK,FORD4,T,TOTAL,HES,753
2006,SK,FORD4,T,TOTAL,HES,793
2007,SK,FORD4,T,TOTAL,HES,828
2008,SK,FORD4,T,TOTAL,HES,727
2009,SK,FORD4,T,TOTAL,HES,778
2010,SK,FORD4,T,TOTAL,HES,777
2011,SK,FORD4,T,TOTAL,HES,933
2012,SK,FORD4,T,TOTAL,HES,903
2013,SK,FORD4,T,TOTAL,HES,799
2014,SK,FORD4,T,TOTAL,HES,818
2015,SK,FORD4,T,TOTAL,HES,912
2016,SK,FORD4,T,TOTAL,HES,938
2017,SK,FORD4,T,TOTAL,HES,961
2018,SK,FORD4,T,TOTAL,HES,974
2019,SK,FORD4,T,TOTAL,HES,961
2020,SK,FORD4,T,TOTAL,HES,976
2021,SK,FORD4,T,TOTAL,HES,933
2022,SK,FORD4,T,TOTAL,HES,903
2007,FI,FORD4,T,TOTAL,HES,913
2011,FI,FORD4,T,TOTAL,HES,1040
2013,FI,FORD4,T,TOTAL,HES,939
2015,FI,FORD4,T,TOTAL,HES,851
2016,FI,FORD4,T,TOTAL,HES,789
2017,FI,FORD4,T,TOTAL,HES,718
2018,FI,FORD4,T,TOTAL,HES,868
2019,FI,FORD4,T,TOTAL,HES,852
2020,FI,FORD4,T,TOTAL,HES,865
2021,FI,FORD4,T,TOTAL,HES,1007
2022,FI,FORD4,T,TOTAL,HES,1016
2001,SE,FORD4,T,TOTAL,HES,2827
2003,SE,FORD4,T,TOTAL,HES,2649
2005,SE,FORD4,T,TOTAL,HES,2241
2007,SE,FORD4,T,TOTAL,HES,2458
2009,SE,FORD4,T,TOTAL,HES,2479
2011,SE,FORD4,T,TOTAL,HES,3287
2013,SE,FORD4,T,TOTAL,HES,1095
2015,SE,FORD4,T,TOTAL,HES,1554
2017,SE,FORD4,T,TOTAL,HES,1103
2019,SE,FORD4,T,TOTAL,HES,1221
2021,SE,FORD4,T,TOTAL,HES,1267
2001,IS,FORD4,T,TOTAL,HES,56
2003,IS,FORD4,T,TOTAL,HES,67
2011,IS,FORD4,T,TOTAL,HES,66
2013,IS,FORD4,T,TOTAL,HES,105
2017,IS,FORD4,T,TOTAL,HES,71
2018,IS,FORD4,T,TOTAL,HES,74
2021,IS,FORD4,T,TOTAL,HES,75
2022,IS,FORD4,T,TOTAL,HES,79
2001,NO,FORD4,T,TOTAL,HES,847
2003,NO,FORD4,T,TOTAL,HES,795
2005,NO,FORD4,T,TOTAL,HES,875
2007,NO,FORD4,T,TOTAL,HES,682
2008,NO,FORD4,T,TOTAL,HES,684
2009,NO,FORD4,T,TOTAL,HES,600
2010,NO,FORD4,T,TOTAL,HES,528
2011,NO,FORD4,T,TOTAL,HES,526
2012,NO,FORD4,T,TOTAL,HES,530
2013,NO,FORD4,T,TOTAL,HES,527
2014,NO,FORD4,T,TOTAL,HES,518
2015,NO,FORD4,T,TOTAL,HES,622
2016,NO,FORD4,T,TOTAL,HES,981
2017,NO,FORD4,T,TOTAL,HES,573
2018,NO,FORD4,T,TOTAL,HES,590
2019,NO,FORD4,T,TOTAL,HES,537
2020,NO,FORD4,T,TOTAL,HES,537
2021,NO,FORD4,T,TOTAL,HES,734
2022,NO,FORD4,T,TOTAL,HES,600
2012,CH,FORD4,T,TOTAL,HES,1517
2015,CH,FORD4,T,TOTAL,HES,1812
2017,CH,FORD4,T,TOTAL,HES,1782
2019,CH,FORD4,T,TOTAL,HES,1677
2021,CH,FORD4,T,TOTAL,HES,1876
2022,CH,FORD4,T,TOTAL,HES,1907
2007,UK,FORD4,T,TOTAL,HES,3965
2009,UK,FORD4,T,TOTAL,HES,3723
