TIME,GEO,UNIT,INDIC_IL,SEX,AGE,VALUE
2011,Iceland,Euro,Median equivalised net income,Males,From 25 to 49 years,19350
2012,Iceland,Euro,Median equivalised net income,Males,From 25 to 49 years,19617
2013,Iceland,Euro,Median equivalised net income,Males,From 25 to 49 years,21252
2014,Iceland,Euro,Median equivalised net income,Males,From 25 to 49 years,22608
2015,Iceland,Euro,Median equivalised net income,Males,From 25 to 49 years,24387
2016,Iceland,Euro,Median equivalised net income,Males,From 25 to 49 years,28262
2017,Iceland,Euro,Median equivalised net income,Males,From 25 to 49 years,33716
2018,Iceland,Euro,Median equivalised net income,Males,From 25 to 49 years,40210
2003,Norway,Euro,Median equivalised net income,Males,From 25 to 49 years,29374
2004,Norway,Euro,Median equivalised net income,Males,From 25 to 49 years,27727
2005,Norway,Euro,Median equivalised net income,Males,From 25 to 49 years,27191
2006,Norway,Euro,Median equivalised net income,Males,From 25 to 49 years,29140
2007,Norway,Euro,Median equivalised net income,Males,From 25 to 49 years,30579
2008,Norway,Euro,Median equivalised net income,Males,From 25 to 49 years,33599
2009,Norway,Euro,Median equivalised net income,Males,From 25 to 49 years,35392
2010,Norway,Euro,Median equivalised net income,Males,From 25 to 49 years,34519
2011,Norway,Euro,Median equivalised net income,Males,From 25 to 49 years,37749
2012,Norway,Euro,Median equivalised net income,Males,From 25 to 49 years,41144
2013,Norway,Euro,Median equivalised net income,Males,From 25 to 49 years,44390
2014,Norway,Euro,Median equivalised net income,Males,From 25 to 49 years,45466
2015,Norway,Euro,Median equivalised net income,Males,From 25 to 49 years,43073
2016,Norway,Euro,Median equivalised net income,Males,From 25 to 49 years,41565
2017,Norway,Euro,Median equivalised net income,Males,From 25 to 49 years,39926
2018,Norway,Euro,Median equivalised net income,Males,From 25 to 49 years,40581
2019,Norway,Euro,Median equivalised net income,Males,From 25 to 49 years,40225
2020,Norway,Euro,Median equivalised net income,Males,From 25 to 49 years,41102
2007,Switzerland,Euro,Median equivalised net income,Males,From 25 to 49 years,29925
2008,Switzerland,Euro,Median equivalised net income,Males,From 25 to 49 years,29064
2009,Switzerland,Euro,Median equivalised net income,Males,From 25 to 49 years,32167
2010,Switzerland,Euro,Median equivalised net income,Males,From 25 to 49 years,33597
2011,Switzerland,Euro,Median equivalised net income,Males,From 25 to 49 years,37830
2012,Switzerland,Euro,Median equivalised net income,Males,From 25 to 49 years,43729
2013,Switzerland,Euro,Median equivalised net income,Males,From 25 to 49 years,44579
2014,Switzerland,Euro,Median equivalised net income,Males,From 25 to 49 years,41857
2015,Switzerland,Euro,Median equivalised net income,Males,From 25 to 49 years,43068
2016,Switzerland,Euro,Median equivalised net income,Males,From 25 to 49 years,47947
2017,Switzerland,Euro,Median equivalised net income,Males,From 25 to 49 years,47991
2018,Switzerland,Euro,Median equivalised net income,Males,From 25 to 49 years,46031
2019,Switzerland,Euro,Median equivalised net income,Males,From 25 to 49 years,45934
2020,Switzerland,Euro,Median equivalised net income,Males,From 25 to 49 years,47810
2021,Switzerland,Euro,Median equivalised net income,Males,From 25 to 49 years,50028
2000,United Kingdom,Euro,Median equivalised net income,Males,From 25 to 49 years,17965
2001,United Kingdom,Euro,Median equivalised net income,Males,From 25 to 49 years,20822
2005,United Kingdom,Euro,Median equivalised net income,Males,From 25 to 49 years,22265
2006,United Kingdom,Euro,Median equivalised net income,Males,From 25 to 49 years,23265
2007,United Kingdom,Euro,Median equivalised net income,Males,From 25 to 49 years,24629
2008,United Kingdom,Euro,Median equivalised net income,Males,From 25 to 49 years,22111
2009,United Kingdom,Euro,Median equivalised net income,Males,From 25 to 49 years,18693
2010,United Kingdom,Euro,Median equivalised net income,Males,From 25 to 49 years,19575
2011,United Kingdom,Euro,Median equivalised net income,Males,From 25 to 49 years,19945
2012,United Kingdom,Euro,Median equivalised net income,Males,From 25 to 49 years,21896
2013,United Kingdom,Euro,Median equivalised net income,Males,From 25 to 49 years,21587
2014,United Kingdom,Euro,Median equivalised net income,Males,From 25 to 49 years,23562
2015,United Kingdom,Euro,Median equivalised net income,Males,From 25 to 49 years,23954
2016,United Kingdom,Euro,Median equivalised net income,Males,From 25 to 49 years,24100
2017,United Kingdom,Euro,Median equivalised net income,Males,From 25 to 49 years,23858
2018,United Kingdom,Euro,Median equivalised net income,Males,From 25 to 49 years,24828
2013,Montenegro,Euro,Median equivalised net income,Males,From 25 to 49 years,3084
2014,Montenegro,Euro,Median equivalised net income,Males,From 25 to 49 years,3189
2015,Montenegro,Euro,Median equivalised net income,Males,From 25 to 49 years,3332
2016,Montenegro,Euro,Median equivalised net income,Males,From 25 to 49 years,3440
2017,Montenegro,Euro,Median equivalised net income,Males,From 25 to 49 years,3700
2018,Montenegro,Euro,Median equivalised net income,Males,From 25 to 49 years,3920
2019,Montenegro,Euro,Median equivalised net income,Males,From 25 to 49 years,3997
2020,Montenegro,Euro,Median equivalised net income,Males,From 25 to 49 years,4148
2012,North Macedonia,Euro,Median equivalised net income,Males,From 25 to 49 years,1876
2013,North Macedonia,Euro,Median equivalised net income,Males,From 25 to 49 years,1941
2014,North Macedonia,Euro,Median equivalised net income,Males,From 25 to 49 years,1997
2015,North Macedonia,Euro,Median equivalised net income,Males,From 25 to 49 years,2178
2016,North Macedonia,Euro,Median equivalised net income,Males,From 25 to 49 years,2288
2017,North Macedonia,Euro,Median equivalised net income,Males,From 25 to 49 years,2537
2018,North Macedonia,Euro,Median equivalised net income,Males,From 25 to 49 years,2715
2019,North Macedonia,Euro,Median equivalised net income,Males,From 25 to 49 years,2905
2020,North Macedonia,Euro,Median equivalised net income,Males,From 25 to 49 years,3121
2017,Albania,Euro,Median equivalised net income,Males,From 25 to 49 years,1809
2018,Albania,Euro,Median equivalised net income,Males,From 25 to 49 years,2087
2019,Albania,Euro,Median equivalised net income,Males,From 25 to 49 years,2353
2020,Albania,Euro,Median equivalised net income,Males,From 25 to 49 years,2658
2013,Serbia,Euro,Median equivalised net income,Males,From 25 to 49 years,2482
2014,Serbia,Euro,Median equivalised net income,Males,From 25 to 49 years,2503
2015,Serbia,Euro,Median equivalised net income,Males,From 25 to 49 years,2455
2016,Serbia,Euro,Median equivalised net income,Males,From 25 to 49 years,2518
2017,Serbia,Euro,Median equivalised net income,Males,From 25 to 49 years,2612
2018,Serbia,Euro,Median equivalised net income,Males,From 25 to 49 years,2853
2019,Serbia,Euro,Median equivalised net income,Males,From 25 to 49 years,3495
2020,Serbia,Euro,Median equivalised net income,Males,From 25 to 49 years,4073
2021,Serbia,Euro,Median equivalised net income,Males,From 25 to 49 years,4406
2006,Türkiye,Euro,Median equivalised net income,Males,From 25 to 49 years,2535
2007,Türkiye,Euro,Median equivalised net income,Males,From 25 to 49 years,2881
2008,Türkiye,Euro,Median equivalised net income,Males,From 25 to 49 years,3171
2009,Türkiye,Euro,Median equivalised net income,Males,From 25 to 49 years,3306
2010,Türkiye,Euro,Median equivalised net income,Males,From 25 to 49 years,3009
2011,Türkiye,Euro,Median equivalised net income,Males,From 25 to 49 years,3602
2012,Türkiye,Euro,Median equivalised net income,Males,From 25 to 49 years,3519
2013,Türkiye,Euro,Median equivalised net income,Males,From 25 to 49 years,3705
2014,Türkiye,Euro,Median equivalised net income,Males,From 25 to 49 years,3795
2015,Türkiye,Euro,Median equivalised net income,Males,From 25 to 49 years,3701
2016,Türkiye,Euro,Median equivalised net income,Males,From 25 to 49 years,4104
2017,Türkiye,Euro,Median equivalised net income,Males,From 25 to 49 years,4204
2018,Türkiye,Euro,Median equivalised net income,Males,From 25 to 49 years,3841
2019,Türkiye,Euro,Median equivalised net income,Males,From 25 to 49 years,3268
2020,Türkiye,Euro,Median equivalised net income,Males,From 25 to 49 years,3415
2018,Kosovo (under United Nations Security Council Resolution 1244/99),Euro,Median equivalised net income,Males,From 25 to 49 years,2164
2000,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,15859
2001,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,17032
2003,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,17211
2004,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16596
2005,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,17546
2006,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,18184
2007,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,18514
2008,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,19293
2009,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,19636
2010,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,19482
2011,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,20359
2012,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,20609
2013,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,21878
2014,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,21544
2015,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,22445
2016,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,24414
2017,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,23541
2018,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,23790
2019,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,24391
2020,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,24817
2021,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,25464
2022,Belgium,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,27036
2006,Bulgaria,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,3523
2007,Bulgaria,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,3666
2008,Bulgaria,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,5507
2009,Bulgaria,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,6496
2010,Bulgaria,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,6388
2011,Bulgaria,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,6549
2012,Bulgaria,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,6275
2013,Bulgaria,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,6475
2014,Bulgaria,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,7195
2015,Bulgaria,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,7647
2016,Bulgaria,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,7313
2017,Bulgaria,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,8486
2018,Bulgaria,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,7958
2019,Bulgaria,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,9500
2020,Bulgaria,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,9778
2021,Bulgaria,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,10381
2022,Bulgaria,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,10931
2005,Czechia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,8508
2006,Czechia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,9001
2007,Czechia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,9948
2008,Czechia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,10752
2009,Czechia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,11300
2010,Czechia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,10648
2011,Czechia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,11103
2012,Czechia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,11571
2013,Czechia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,11958
2014,Czechia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,12278
2015,Czechia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,12951
2016,Czechia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,13922
2017,Czechia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,14223
2018,Czechia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,15008
2019,Czechia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,15878
2020,Czechia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16093
2021,Czechia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,15364
2003,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16681
2004,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16052
2005,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,17056
2006,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,17579
2007,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,18089
2008,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,19004
2009,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,19303
2010,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,19171
2011,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,20850
2012,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,20646
2013,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,21279
2014,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,21427
2015,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,22136
2016,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,23189
2017,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,22414
2018,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,23160
2019,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,23618
2020,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,23139
2021,Denmark,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,24429
2000,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,15369
2001,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16709
2005,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16867
2006,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16308
2007,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,19005
2008,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,19771
2009,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,19871
2010,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,19437
2011,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,20294
2012,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,21249
2013,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,21161
2014,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,21122
2015,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,22377
2016,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,23228
2017,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,23337
2018,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,23890
2019,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,24840
2020,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,25893
2021,Germany (until 1990 former territory of the FRG),Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,25284
2004,Estonia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,4748
2005,Estonia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,5597
2006,Estonia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,6705
2007,Estonia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,7753
2008,Estonia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,9068
2009,Estonia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,9448
2010,Estonia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,8910
2011,Estonia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,8909
2012,Estonia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,9706
2013,Estonia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,10300
2014,Estonia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,11495
2015,Estonia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,12379
2016,Estonia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,13982
2017,Estonia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,14593
2018,Estonia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,15357
2019,Estonia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16471
2020,Estonia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16255
2021,Estonia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,17301
2000,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,12785
2001,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,14410
2003,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16096
2004,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16373
2005,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,17652
2006,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,18884
2007,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,21023
2008,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,20995
2009,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,19774
2010,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,19152
2011,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,18887
2012,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,18589
2013,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,19281
2014,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,18961
2015,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,19685
2016,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,20596
2017,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,20810
2018,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,21539
2019,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,22140
2020,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,21749
2021,Ireland,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,22840
2000,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,9789
2001,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,10313
2003,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,11423
2004,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,11522
2005,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,11960
2006,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,12099
2007,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,12505
2008,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,13369
2009,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,13619
2010,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,13691
2011,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,12638
2012,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,10469
2013,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,9557
2014,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,9148
2015,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,9074
2016,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,9215
2017,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,9217
2018,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,9670
2019,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,10251
2020,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,10963
2021,Greece,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,10775
2000,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,11077
2001,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,12395
2004,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,13196
2005,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,12883
2006,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,13885
2007,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,14146
2008,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16386
2009,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16868
2010,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,15845
2011,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,15099
2012,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,14822
2013,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,14848
2014,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,14697
2015,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,14976
2016,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,15978
2017,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16416
2018,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16813
2019,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16859
2020,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,17749
2021,Spain,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16811
2000,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,14030
2001,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,15091
2004,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,14733
2005,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,15239
2006,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,15703
2007,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,15986
2008,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,18243
2009,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,18521
2010,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,18448
2011,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,18799
2012,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,19532
2013,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,19868
2014,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,19977
2015,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,20444
2016,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,21307
2017,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,21086
2018,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,20851
2019,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,21109
2020,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,20931
2021,France,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,21630
2010,Croatia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,8421
2011,Croatia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,7859
2012,Croatia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,7879
2013,Croatia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,8199
2014,Croatia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,8400
2015,Croatia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,9040
2016,Croatia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,9784
2017,Croatia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,10439
2018,Croatia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,11014
2019,Croatia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,11883
2020,Croatia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,12387
2021,Croatia,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,12875
2000,Italy,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,12361
2001,Italy,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,12633
2004,Italy,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,14427
2005,Italy,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,15058
2006,Italy,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,15295
2007,Italy,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,15912
2008,Italy,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16789
2009,Italy,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16543
2010,Italy,Purchasing power standard (PPS),Median equivalised net income,Males,From 25 to 49 years,16408
