GEO,UNIT,SEX,NACE_R2,ISCED11,VALUE
Finland,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3186
Sweden,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3473
Iceland,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),5400
Norway,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),4913
Switzerland,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),6171
United Kingdom,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3209
North Macedonia,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),586
Serbia,Euro,Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),571
Bulgaria,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),956
Czechia,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1656
Denmark,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3213
Germany,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3062
Estonia,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1682
Ireland,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2331
Spain,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2218
France,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2244
Croatia,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1493
Italy,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2556
Cyprus,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1756
Latvia,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1369
Lithuania,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1221
Luxembourg,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3166
Hungary,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1387
Malta,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2651
Netherlands,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2650
Poland,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1620
Romania,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1352
Slovenia,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1758
Slovakia,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1427
Finland,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2529
Sweden,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2810
Iceland,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3326
Norway,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3253
Switzerland,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3956
United Kingdom,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2672
North Macedonia,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1175
Serbia,Purchasing power standard (PPS),Males,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1026
Bulgaria,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),418
Czechia,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),989
Denmark,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3686
Germany,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2759
Estonia,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1000
Ireland,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2614
Spain,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1652
France,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2153
Croatia,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),885
Italy,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2192
Cyprus,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1282
Latvia,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),777
Lithuania,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),674
Luxembourg,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3908
Hungary,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),757
Malta,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1804
Netherlands,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2491
Poland,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),779
Romania,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),659
Slovenia,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1251
Slovakia,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),884
Finland,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2528
Sweden,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2903
Iceland,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),4104
Norway,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3977
Switzerland,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),5470
United Kingdom,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2465
North Macedonia,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),455
Serbia,Euro,Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),485
Bulgaria,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),804
Czechia,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1347
Denmark,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2604
Germany,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2582
Estonia,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1205
Ireland,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1970
Spain,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1726
France,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1895
Croatia,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1262
Italy,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2118
Cyprus,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1426
Latvia,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1016
Lithuania,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),991
Luxembourg,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3018
Hungary,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1174
Malta,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2119
Netherlands,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2157
Poland,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1308
Romania,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1219
Slovenia,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1435
Slovakia,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1109
Finland,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2007
Sweden,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2349
Iceland,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2528
Norway,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2634
Switzerland,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3507
United Kingdom,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2052
North Macedonia,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),913
Serbia,Purchasing power standard (PPS),Females,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),872
Belgium,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2747
Bulgaria,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),464
Czechia,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1107
Denmark,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),4121
Germany,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3016
Estonia,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1199
Ireland,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2826
Greece,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1232
Spain,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1847
France,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2389
Croatia,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),978
Italy,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2432
Cyprus,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1409
Latvia,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),923
Lithuania,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),755
Luxembourg,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3889
Hungary,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),837
Malta,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2050
Netherlands,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2751
Austria,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2886
Poland,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),890
Portugal,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1094
Romania,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),701
Slovenia,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1412
Slovakia,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1026
Finland,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2858
Sweden,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3212
Iceland,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),4859
Norway,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),4481
Switzerland,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),5847
United Kingdom,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2825
North Macedonia,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),520
Albania,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),301
Serbia,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),536
Türkiye,Euro,Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),595
Belgium,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2393
Bulgaria,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),892
Czechia,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1508
Denmark,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2911
Germany,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2824
Estonia,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1445
Ireland,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2130
Greece,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1424
Spain,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1929
France,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2103
Croatia,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1394
Italy,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2350
Cyprus,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1567
Latvia,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1206
Lithuania,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1111
Luxembourg,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3003
Hungary,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1298
Malta,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2407
Netherlands,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2382
Austria,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2577
Poland,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1495
Portugal,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1228
Romania,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1296
Slovenia,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1620
Slovakia,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1288
Finland,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2269
Sweden,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2599
Iceland,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2993
Norway,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2967
Switzerland,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3748
United Kingdom,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2352
North Macedonia,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1043
Albania,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),557
Serbia,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),963
Türkiye,Purchasing power standard (PPS),Total,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1296
Belgium,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2847
Bulgaria,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),498
Czechia,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1210
Denmark,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),4559
Germany,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3275
Estonia,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1402
Ireland,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3010
Greece,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1341
Spain,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2072
France,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2584
Croatia,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1047
Italy,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2627
Cyprus,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1548
Latvia,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),1057
Lithuania,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),828
Luxembourg,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3948
Hungary,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),894
Malta,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),2268
Netherlands,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3032
Austria,Euro,Males,Industry construction and services (except public administration, defense, compulsory social security),Upper secondary and post-secondary non-tertiary education (levels 3 and 4),3146
