TIME,GEO,DEG_URB,VALUE
2017,Iceland,Rural areas,1.1
2018,Iceland,Rural areas,0.9
2019,Iceland,Rural areas,0.9
2004,Norway,Rural areas,2.9
2005,Norway,Rural areas,1.7
2006,Norway,Rural areas,1.6
2007,Norway,Rural areas,1.8
2008,Norway,Rural areas,2.3
2009,Norway,Rural areas,2.3
2010,Norway,Rural areas,2.3
2011,Norway,Rural areas,2.6
2012,Norway,Rural areas,3.1
2013,Norway,Rural areas,2.8
2015,Norway,Rural areas,3.3
2016,Norway,Rural areas,2.3
2017,Norway,Rural areas,2.1
2018,Norway,Rural areas,1.9
2019,Norway,Rural areas,1.6
2020,Norway,Rural areas,2.1
2023,Norway,Rural areas,2.4
2007,Switzerland,Rural areas,6.4
2008,Switzerland,Rural areas,6.2
2009,Switzerland,Rural areas,5.3
2010,Switzerland,Rural areas,5.1
2011,Switzerland,Rural areas,4.5
2012,Switzerland,Rural areas,9.9
2013,Switzerland,Rural areas,9.6
2014,Switzerland,Rural areas,10.2
2015,Switzerland,Rural areas,6.7
2016,Switzerland,Rural areas,7.3
2017,Switzerland,Rural areas,6
2018,Switzerland,Rural areas,3.9
2019,Switzerland,Rural areas,2.6
2020,Switzerland,Rural areas,2.9
2005,United Kingdom,Rural areas,12.2
2006,United Kingdom,Rural areas,12.3
2007,United Kingdom,Rural areas,13.4
2008,United Kingdom,Rural areas,14.2
2009,United Kingdom,Rural areas,14.2
2010,United Kingdom,Rural areas,12.9
2011,United Kingdom,Rural areas,12
2012,United Kingdom,Rural areas,9.4
2013,United Kingdom,Rural areas,8.5
2014,United Kingdom,Rural areas,7.6
2015,United Kingdom,Rural areas,9.8
2016,United Kingdom,Rural areas,7.5
2017,United Kingdom,Rural areas,7.3
2018,United Kingdom,Rural areas,10.4
2016,North Macedonia,Rural areas,2.9
2017,North Macedonia,Rural areas,2.2
2018,North Macedonia,Rural areas,2.2
2019,North Macedonia,Rural areas,5.3
2020,North Macedonia,Rural areas,3.9
2017,Albania,Rural areas,0.7
2018,Albania,Rural areas,1.2
2019,Albania,Rural areas,0.5
2020,Albania,Rural areas,0.4
2013,Serbia,Rural areas,12.8
2014,Serbia,Rural areas,10.5
2015,Serbia,Rural areas,8.6
2016,Serbia,Rural areas,8.1
2017,Serbia,Rural areas,8.1
2018,Serbia,Rural areas,8.8
2019,Serbia,Rural areas,5
2020,Serbia,Rural areas,5
